# Galloway 1994 GMFR replication, census year 1910
# Source: PS Heft 234:2 (likely Zweiter Theil)
# Note: Direct cell: Married Female 15-44 (1-yr truncation).
# Primary cell: mwf_15_49_direct = Married Female 15-49,
#               as published per Kreis.
# Fallback cells (if direct not given): mwf_15_19 + mwf_20_24 + ... + mwf_45_49.
#
Code,Rb,Kreis,pop_total_1910_galloway,mwf_15_49_direct,mwf_15_19,mwf_20_24,mwf_25_29,mwf_30_34,mwf_35_39,mwf_40_44,mwf_45_49,mwf_50p,twf_15_19,twf_20_24,twf_25_29,twf_30_34,twf_35_39,twf_40_44,twf_45_49,twf_50p,source_page,notes
52,DAN,DANZIG HOHE,53506,,,,,,,,,,,,,,,,,,,
53,DAN,DIRSCHAU,42723,,,,,,,,,,,,,,,,,,,
54,DAN,PREUSSISCH STARGARD,65427,,,,,,,,,,,,,,,,,,,
55,DAN,BERENT,55976,,,,,,,,,,,,,,,,,,,
56,DAN,KARTHAUS,69891,,,,,,,,,,,,,,,,,,,
57,DAN,NEUSTADT,61620,,,,,,,,,,,,,,,,,,,
58,DAN,PUTZIG,26548,,,,,,,,,,,,,,,,,,,
59,MAR,STUHM,36527,,,,,,,,,,,,,,,,,,,
60,MAR,MARIENWERDER,68426,,,,,,,,,,,,,,,,,,,
61,MAR,ROSENBERG,54550,,,,,,,,,,,,,,,,,,,
62,MAR,LOBAU,59037,,,,,,,,,,,,,,,,,,,
63,MAR,STRASBURG,62142,,,,,,,,,,,,,,,,,,,
64,MAR,BRIESEN,49506,,,,,,,,,,,,,,,,,,,
68,MAR,KULM,50069,,,,,,,,,,,,,,,,,,,
72,MAR,SCHWETZ,89712,,,,,,,,,,,,,,,,,,,
73,MAR,TUCHEL,33951,,,,,,,,,,,,,,,,,,,
74,MAR,KONITZ,63723,,,,,,,,,,,,,,,,,,,
75,MAR,SCHLOCHAU,67157,,,,,,,,,,,,,,,,,,,
76,MAR,FLATOW,69186,,,,,,,,,,,,,,,,,,,
77,MAR,DEUTSCH KRONE,62182,,,,,,,,,,,,,,,,,,,
79,POT,PRENZLAU,61878,,,,,,,,,,,,,,,,,,,
80,POT,TEMPLIN,51687,,,,,,,,,,,,,,,,,,,
81,POT,ANGERMUNDE,65656,,,,,,,,,,,,,,,,,,,
83,POT,OBERBARNIM,76983,,,,,,,,,,,,,,,,,,,
85,POT,NIEDERBARNIM,445265,,,,,,,,,,,,,,,,,,,
91,POT,TELTOW,438918,,,,,,,,,,,,,,,,,,,
92,POT,BEESKOW-STORKOW,49852,,,,,,,,,,,,,,,,,,,
93,POT,JUTERBOG-LUCKENWALDE,75950,,,,,,,,,,,,,,,,,,,
94,POT,ZAUCH-BELZIG,88559,,,,,,,,,,,,,,,,,,,
97,POT,OSTHAVELLAND,77459,,,,,,,,,,,,,,,,,,,
99,POT,WESTHAVELLAND,66132,,,,,,,,,,,,,,,,,,,
100,POT,RUPPIN,77797,,,,,,,,,,,,,,,,,,,
101,POT,OSTPRIGNITZ,68104,,,,,,,,,,,,,,,,,,,
102,POT,WESTPRIGNITZ,81414,,,,,,,,,,,,,,,,,,,
103,FRA,KONIGSBERG,94327,,,,,,,,,,,,,,,,,,,
104,FRA,SOLDIN,46256,,,,,,,,,,,,,,,,,,,
